Symbol,Scientific Name,Common Name,Genus,Species
TRFL2,Tridens flavus (L.) Hitchc.,purpletop tridens,Tridens,flavus
TRBO2,Trientalis borealis Raf.,starflower,Trientalis,borealis
TRDE,Trifolium depauperatum Desv.,cowbag clover,Trifolium,depauperatum
TRFU,Trifolium fucatum Lindl.,bull clover,Trifolium,fucatum
TRMA20,Triglochin maritima L.,seaside arrowgrass,Triglochin,maritima
TRPA28,Triglochin palustris L.,marsh arrowgrass,Triglochin,palustris
TRCE,Trillium cernuum L.,whip-poor-will flower,Trillium,cernuum
TRER3,Trillium erectum L.,red trillium,Trillium,erectum
TRFL6,Trillium flexipes Raf.,nodding wakerobin,Trillium,flexipes
TRGR4,Trillium grandiflorum (Michx.) Salisb.,white trillium,Trillium,grandiflorum
TRLU3,Trillium luteum (Muhl.) Harbison,yellow wakerobin,Trillium,luteum
TRNI2,Trillium nivale Riddell,snow trillium,Trillium,nivale
TRRE5,Trillium recurvatum Beck,bloody butcher,Trillium,recurvatum
TRSE2,Trillium sessile L.,toadshade,Trillium,sessile
TRUN,Trillium undulatum Willd.,painted trillium,Trillium,undulatum
TRPE4,Triodanis perfoliata (L.) Nieuwl.,clasping Venus' looking-glass,Triodanis,perfoliata
TRAU4,Triosteum aurantiacum E.P. Bicknell,orangefruit horse-gentian,Triosteum,aurantiacum
TRPE5,Triosteum perfoliatum L.,feverwort,Triosteum,perfoliatum
TRTR3,Triphora trianthophora (Sw.) Rydb.,threebirds,Triphora,trianthophora
TRPU4,Triplasis purpurea (Walter) Chapm.,purple sandgrass,Triplasis,purpurea
TRDA3,Tripsacum dactyloides (L.) L.,eastern gamagrass,Tripsacum,dactyloides
TRME3,Trisetum melicoides (Michx.) Vasey ex Scribn.,purple false oat,Trisetum,melicoides
TRSP2,Trisetum spicatum (L.) K. Richt.,spike trisetum,Trisetum,spicatum
TSCA,Tsuga canadensis (L.) Carrière,eastern hemlock,Tsuga,canadensis
TYGL,Typha ×glauca Godr. (pro sp.) [angustifolia or domingensis × latifolia],hybrid cattail,Typha,×glauca
TYAN,Typha angustifolia L.,narrowleaf cattail,Typha,angustifolia
TYLA,Typha latifolia L.,broadleaf cattail,Typha,latifolia
ULAM,Ulmus americana L.,American elm,Ulmus,americana
ULRU,Ulmus rubra Muhl.,slippery elm,Ulmus,rubra
ULTH,Ulmus thomasii Sarg.,rock elm,Ulmus,thomasii
URDI,Urtica dioica L.,stinging nettle,Urtica,dioica
URDIG,Urtica dioica L. ssp. gracilis (Aiton) Seland.,California nettle,Urtica,dioica
UTCO,Utricularia cornuta Michx.,horned bladderwort,Utricularia,cornuta
UTGE,Utricularia geminiscapa Benj.,hiddenfruit bladderwort,Utricularia,geminiscapa
UTGI,Utricularia gibba L.,humped bladderwort,Utricularia,gibba
UTIN2,Utricularia intermedia Hayne,flatleaf bladderwort,Utricularia,intermedia
UTMA,Utricularia macrorhiza Leconte,common bladderwort,Utricularia,macrorhiza
UTMI,Utricularia minor L.,lesser bladderwort,Utricularia,minor
UTPU,Utricularia purpurea Walter,eastern purple bladderwort,Utricularia,purpurea
UTRA,Utricularia radiata Small,little floating bladderwort,Utricularia,radiata
UTRE,Utricularia resupinata B.D. Greene ex Bigelow,lavender bladderwort,Utricularia,resupinata
UTSU,Utricularia subulata L.,zigzag bladderwort,Utricularia,subulata
UVGR,Uvularia grandiflora Sm.,largeflower bellwort,Uvularia,grandiflora
UVSE,Uvularia sessilifolia L.,sessileleaf bellwort,Uvularia,sessilifolia
VAAN,Vaccinium angustifolium Aiton,lowbush blueberry,Vaccinium,angustifolium
VACE,Vaccinium cespitosum Michx.,dwarf bilberry,Vaccinium,cespitosum
VACO,Vaccinium corymbosum L.,highbush blueberry,Vaccinium,corymbosum
VAFU,Vaccinium fuscatum Aiton,black highbush blueberry,Vaccinium,fuscatum
VAMA,Vaccinium macrocarpon Aiton,cranberry,Vaccinium,macrocarpon
VAME,Vaccinium membranaceum Douglas ex Torr.,thinleaf huckleberry,Vaccinium,membranaceum
VAMY,Vaccinium myrtilloides Michx.,velvetleaf huckleberry,Vaccinium,myrtilloides
VAOV,Vaccinium ovalifolium Sm.,oval-leaf blueberry,Vaccinium,ovalifolium
VAOX,Vaccinium oxycoccos L.,small cranberry,Vaccinium,oxycoccos
VAPA4,Vaccinium pallidum Aiton,Blue Ridge blueberry,Vaccinium,pallidum
VAUL,Vaccinium uliginosum L.,bog blueberry,Vaccinium,uliginosum
VAVI,Vaccinium vitis-idaea L.,lingonberry,Vaccinium,vitis-idaea
VAVIM,Vaccinium vitis-idaea L. ssp. minus (Lodd.) Hultén,northern mountain cranberry,Vaccinium,vitis-idaea
VAED,Valeriana edulis Nutt. ex Torr. & A. Gray,tobacco root,Valeriana,edulis
VAUL2,Valeriana uliginosa (Torr. & A. Gray) Rydb.,mountain valerian,Valeriana,uliginosa
VACH,Valerianella chenopodiifolia (Pursh) DC.,goosefoot cornsalad,Valerianella,chenopodiifolia
VAUM,Valerianella umbilicata (Sull.) Alph. Wood,navel cornsalad,Valerianella,umbilicata
VAAM3,Vallisneria americana Michx.,American eelgrass,Vallisneria,americana
VEDE2,Verbena ×deamii Moldenke (pro sp.) [bracteata × stricta],vervain,Verbena,×deamii
VEBR,Verbena bracteata Cav. ex Lag. & Rodr.,bigbract verbena,Verbena,bracteata
VEHA2,Verbena hastata L.,swamp verbena,Verbena,hastata
VESI,Verbena simplex Lehm.,narrowleaf vervain,Verbena,simplex
VEST,Verbena stricta Vent.,hoary verbena,Verbena,stricta
VEUR,Verbena urticifolia L.,white vervain,Verbena,urticifolia
VEAL,Verbesina alternifolia (L.) Britton ex Kearney,wingstem,Verbesina,alternifolia
VEEN,Verbesina encelioides (Cav.) Benth. & Hook. f. ex A. Gray,golden crownbeard,Verbesina,encelioides
VEIL3,Vernonia ×illinoensis Gleason [gigantea × missurica],ironweed,Vernonia,×illinoensis
VEGI,Vernonia gigantea (Walter) Trel.,giant ironweed,Vernonia,gigantea
VEMI2,Vernonia missurica Raf.,Missouri ironweed,Vernonia,missurica
VEAM2,Veronica americana Schwein. ex Benth.,American speedwell,Veronica,americana
VEAN2,Veronica anagallis-aquatica L.,water speedwell,Veronica,anagallis-aquatica
VEPE2,Veronica peregrina L.,neckweed,Veronica,peregrina
VEPEX2,Veronica peregrina L. ssp. xalapensis (Kunth) Pennell,hairy purslane speedwell,Veronica,peregrina
VESC2,Veronica scutellata L.,skullcap speedwell,Veronica,scutellata
VESE,Veronica serpyllifolia L.,thymeleaf speedwell,Veronica,serpyllifolia
VESEH2,Veronica serpyllifolia L. ssp. humifusa (Dicks.) Syme,brightblue speedwell,Veronica,serpyllifolia
VEVI4,Veronicastrum virginicum (L.) Farw.,Culver's root,Veronicastrum,virginicum
VIAC,Viburnum acerifolium L.,mapleleaf viburnum,Viburnum,acerifolium
VIED,Viburnum edule (Michx.) Raf.,squashberry,Viburnum,edule
VILE,Viburnum lentago L.,nannyberry,Viburnum,lentago
VINU,Viburnum nudum L.,possumhaw,Viburnum,nudum
VINUC,Viburnum nudum L. var. cassinoides (L.) Torr. & A. Gray,withe-rod,Viburnum,nudum
VIOP,Viburnum opulus L.,European cranberrybush,Viburnum,opulus
VIOPA2,Viburnum opulus L. var. americanum Aiton,American cranberrybush,Viburnum,opulus
VIPR,Viburnum prunifolium L.,blackhaw,Viburnum,prunifolium
VIRA,Viburnum rafinesqueanum Schult.,downy arrowwood,Viburnum,rafinesqueanum
VIRE7,Viburnum recognitum Fernald,southern arrowwood,Viburnum,recognitum
VIAM,Vicia americana Muhl. ex Willd.,American vetch,Vicia,americana
VICA2,Vicia caroliniana Walter,Carolina vetch,Vicia,caroliniana
VIBE5,Viola ×bernardii Greene (pro sp.) [pedatifida × sororia],Bernard violet,Viola,×bernardii
VIBR3,Viola ×brauniae Grover ex Cooperr. [rostrata × striata],hybrid violet,Viola,×brauniae
VIPA18,Viola ×palmata L. (pro sp.) [brittoniana or pedatifida × affinis or sororia],early blue violet,Viola,×palmata
VIPR4,Viola ×primulifolia L. (pro sp.) [lanceolata × macloskeyi],,Viola,×primulifolia
VIAD,Viola adunca Sm.,hookedspur violet,Viola,adunca
VIAF2,Viola affinis Leconte,sand violet,Viola,affinis
VIBI,Viola bicolor Pursh,field pansy,Viola,bicolor
VIBL,Viola blanda Willd.,sweet white violet,Viola,blanda
VICA4,Viola canadensis L.,Canadian white violet,Viola,canadensis
VICU,Viola cucullata Aiton,marsh blue violet,Viola,cucullata
VIEP,Viola epipsila Ledeb.,dwarf marsh violet,Viola,epipsila
VILA10,Viola labradorica Schrank,alpine violet,Viola,labradorica
VILA4,Viola lanceolata L.,bog white violet,Viola,lanceolata
VIMA2,Viola macloskeyi Lloyd,small white violet,Viola,macloskeyi
VIMAP3,Viola macloskeyi Lloyd ssp. pallens (Banks ex Ging) M.S. Baker,smooth white violet,Viola,macloskeyi
VIMI3,Viola missouriensis Greene,Missouri violet,Viola,missouriensis
VINE,Viola nephrophylla Greene,northern bog violet,Viola,nephrophylla
VINO,Viola novae-angliae House,New England blue violet,Viola,novae-angliae
VIPE,Viola pedata L.,birdfoot violet,Viola,pedata
VIPE2,Viola pedatifida G. Don,prairie violet,Viola,pedatifida
VIPU3,Viola pubescens Aiton,downy yellow violet,Viola,pubescens
VIRE2,Viola renifolia A. Gray,white violet,Viola,renifolia
VIRO,Viola rostrata Pursh,longspur violet,Viola,rostrata
VISA2,Viola sagittata Aiton,arrowleaf violet,Viola,sagittata
VISE2,Viola selkirkii Pursh ex Goldie,Selkirk's violet,Viola,selkirkii
VISE5,Viola septentrionalis Greene,northern woodland violet,Viola,septentrionalis
VISO,Viola sororia Willd.,common blue violet,Viola,sororia
VIST3,Viola striata Aiton,striped cream violet,Viola,striata
VITR2,Viola triloba Schwein.,three-lobe violet,Viola,triloba
VIAE,Vitis aestivalis Michx.,summer grape,Vitis,aestivalis
VILA8,Vitis labrusca L.,fox grape,Vitis,labrusca
VIRI,Vitis riparia Michx.,riverbank grape,Vitis,riparia
VIVU,Vitis vulpina L.,frost grape,Vitis,vulpina
VUOC,Vulpia octoflora (Walter) Rydb.,sixweeks fescue,Vulpia,octoflora
WAFR,Waldsteinia fragarioides (Michx.) Tratt.,Appalachian barren strawberry,Waldsteinia,fragarioides
WIFR,Wisteria frutescens (L.) Poir.,American wisteria,Wisteria,frutescens
WOBO,Wolffia borealis (Engelm. ex Hegelm.) Landolt ex Landolt & Wildi,northern watermeal,Wolffia,borealis
WOBR,Wolffia brasiliensis Weddell,Brazilian watermeal,Wolffia,brasiliensis
WOCO,Wolffia columbiana Karst.,Columbian watermeal,Wolffia,columbiana
WOAB,Woodsia ×abbeae Butters [ilvensis × oregana],cliff fern,Woodsia,×abbeae
WOAL,Woodsia alpina (Bolton) Gray,alpine woodsia,Woodsia,alpina
WOIL,Woodsia ilvensis (L.) R. Br.,rusty woodsia,Woodsia,ilvensis
WOOB2,Woodsia obtusa (Spreng.) Torr.,bluntlobe cliff fern,Woodsia,obtusa
WOOR,Woodsia oregana D.C. Eaton,Oregon cliff fern,Woodsia,oregana
WOAR,Woodwardia areolata (L.) T. Moore,netted chainfern,Woodwardia,areolata
WOVI,Woodwardia virginica (L.) Sm.,Virginia chainfern,Woodwardia,virginica
XAST,Xanthium strumarium L.,rough cocklebur,Xanthium,strumarium
XASTC,Xanthium strumarium L. var. canadense (Mill.) Torr. & A. Gray,Canada cocklebur,Xanthium,strumarium
XYDI,Xyris difformis Chapm.,bog yelloweyed grass,Xyris,difformis
XYMO,Xyris montana Ries,northern yelloweyed grass,Xyris,montana
XYTO,Xyris torta Sm.,slender yelloweyed grass,Xyris,torta
YUFI,Yucca filamentosa L.,Adam's needle,Yucca,filamentosa
ZAPA,Zannichellia palustris L.,horned pondweed,Zannichellia,palustris
ZAAM,Zanthoxylum americanum Mill.,common pricklyash,Zanthoxylum,americanum
ZIEL2,Zigadenus elegans Pursh,mountain deathcamas,Zigadenus,elegans
ZIAQ,Zizania aquatica L.,annual wildrice,Zizania,aquatica
ZIPA3,Zizania palustris L.,northern wildrice,Zizania,palustris
ZIAP,Zizia aptera (A. Gray) Fernald,meadow zizia,Zizia,aptera
ZIAU,Zizia aurea (L.) W.D.J. Koch,golden zizia,Zizia,aurea
